Date,Closing Price
2020년 07월 21일,41.96
2020년 07월 20일,40.81
2020년 07월 17일,40.59
2020년 07월 16일,40.75
2020년 07월 15일,41.2
2020년 07월 14일,40.29
2020년 07월 13일,40.1
2020년 07월 10일,40.55
2020년 07월 09일,39.62
2020년 07월 08일,40.9
2020년 07월 07일,40.62
2020년 07월 06일,40.63
2020년 07월 03일,40.28
2020년 07월 02일,40.65
2020년 07월 01일,39.82
2020년 06월 30일,39.27
2020년 06월 29일,39.7
2020년 06월 26일,38.49
2020년 06월 25일,38.72
2020년 06월 24일,38.01
2020년 06월 23일,40.37
2020년 06월 22일,40.46
2020년 06월 19일,39.75
2020년 06월 18일,38.84
2020년 06월 17일,37.96
2020년 06월 16일,38.38
2020년 06월 15일,37.12
2020년 06월 12일,36.26
2020년 06월 11일,36.34
2020년 06월 10일,39.6
2020년 06월 09일,38.94
2020년 06월 08일,38.19
2020년 06월 05일,39.55
2020년 06월 04일,37.41
2020년 06월 03일,37.29
2020년 06월 02일,36.81
2020년 06월 01일,35.44
2020년 05월 29일,35.49
2020년 05월 28일,33.71
2020년 05월 27일,32.81
2020년 05월 26일,34.35
2020년 05월 25일,33.92
2020년 05월 24일,32.9
2020년 05월 22일,33.25
2020년 05월 21일,33.92
2020년 05월 20일,33.49
2020년 05월 19일,32.5
2020년 05월 18일,31.82
2020년 05월 15일,29.43
2020년 05월 14일,27.56
2020년 05월 13일,25.29
2020년 05월 12일,25.78
2020년 05월 11일,24.14
2020년 05월 08일,24.74
2020년 05월 07일,23.55
2020년 05월 06일,23.99
2020년 05월 05일,24.56
2020년 05월 04일,20.39
2020년 05월 01일,19.78
2020년 04월 30일,18.84
2020년 04월 29일,15.06
2020년 04월 28일,12.34
2020년 04월 27일,12.78
2020년 04월 24일,16.94
2020년 04월 23일,16.5
2020년 04월 22일,13.78
2020년 04월 21일,10.01
2020년 04월 20일,-37.63
2020년 04월 17일,18.27
2020년 04월 16일,19.87
2020년 04월 15일,19.87
2020년 04월 14일,20.11
2020년 04월 13일,22.41
2020년 04월 09일,22.76
2020년 04월 08일,25.09
2020년 04월 07일,23.63
2020년 04월 06일,26.08
2020년 04월 03일,28.34
2020년 04월 02일,25.32
2020년 04월 01일,20.31
2020년 03월 31일,20.48
2020년 03월 30일,20.09
2020년 03월 27일,21.51
2020년 03월 26일,22.6
2020년 03월 25일,24.49
