Date,Closing Price,,,,,
2016-09-04,44.11,,,,,
2016-08-28,43.17,,,,,
2016-08-21,43.84,,,,,
2016-08-14,44.45,,,,,
2016-08-07,42.52,,,,,
2016-07-31,40.72,,,,,
2016-07-24,42.51,,,,,
2016-07-17,42.77,,,,,
2016-07-10,43.67,,,,,
2016-07-03,43.14,,,,,
2016-06-26,45.77,,,,,
2016-06-19,46.16,,,,,
2016-06-12,46.14,,,,,
2016-06-05,46.96,,,,,
2016-05-29,46.03,,,,,
2016-05-22,44.31,,,,,
2016-05-15,44.28,,,,,
2016-05-08,43.7,,,,,
2016-05-01,42.28,,,,,
2016-04-24,39.03,,,,,
2016-04-17,38.76,,,,,
2016-04-10,38.04,,,,,
2016-04-03,37.14,,,,,
2016-03-27,34.74,,,,,
2016-03-20,35.23,,,,,
2016-03-13,35.56,,,,,
2016-03-06,34.99,,,,,
2016-02-28,33.65,,,,,
2016-02-21,29.36,,,,,
2016-02-14,29.18,,,,,
2016-02-07,28.94,,,,,
2016-01-31,30.07,,,,,
2016-01-24,26.81,,,,,
2016-01-17,26.72,,,,,
2016-01-10,26.35,,,,,
2016-01-03,29.16,,,,,
2015-12-27,34.59,,,,,
2015-12-20,34.73,,,,,
2015-12-13,34.59,,,,,
2015-12-06,35.43,,,,,
2015-11-29,38.93,,,,,
2015-11-22,41.7,,,,,
2015-11-15,41.78,,,,,
2015-11-08,42.11,,,,,
2015-11-01,44.4,,,,,
2015-10-25,45.84,,,,,
2015-10-18,45.9,,,,,
2015-10-11,47.14,,,,,
2015-10-04,48.77,,,,,
2015-09-27,45.34,,,,,
2015-09-20,45.48,,,,,
2015-09-13,45.14,,,,,
2015-09-06,46.52,,,,,
2015-08-30,47.58,,,,,
2015-08-23,47.75,,,,,
2015-08-16,47.69,,,,,
2015-08-09,49.6,,,,,
2015-08-02,49.76,,,,,
2015-07-26,56.17,,,,,
2015-07-19,56.26,,,,,
2015-07-12,56.96,,,,,
2015-07-05,58.4,,,,,
2015-06-28,61.15,,,,,
2015-06-21,61.91,,,,,
2015-06-14,61.55,,,,,
2015-06-07,62.43,,,,,
2015-05-31,61.65,,,,,
2015-05-24,63.56,,,,,
2015-05-17,63.69,,,,,
2015-05-10,64.58,,,,,
2015-05-03,63.97,,,,,
2015-04-26,64.24,,,,,
2015-04-19,58.44,,,,,
2015-04-12,58.43,,,,,
2015-04-05,55.99,,,,,
2015-03-29,54.83,,,,,
2015-03-22,54.69,,,,,
2015-03-15,54.32,,,,,
2015-03-08,54.36,,,,,
2015-03-01,57.41,,,,,
2015-02-22,55.44,,,,,
2015-02-15,56.22,,,,,
2015-02-08,55.85,,,,,
2015-02-01,54.48,,,,,
2015-01-25,45.57,,,,,
2015-01-18,45.52,,,,,
2015-01-11,46.12,,,,,
2015-01-04,47.71,,,,,
2014-12-28,53.7,,,,,
2014-12-21,60.41,,,,,
2014-12-14,60.61,,,,,
2014-12-07,61.58,,,,,
2014-11-30,66.2,,,,,
2014-11-23,76.33,,,,,
2014-11-16,77.03,,,,,
2014-11-09,76.85,,,,,
2014-11-02,80.19,,,,,
2014-10-26,86.63,,,,,
2014-10-19,86.61,,,,,
2014-10-12,87.13,,,,,
2014-10-05,89.65,,,,,
2014-09-28,91.36,,,,,
2014-09-21,96.5,,,,,
2014-09-14,96.93,,,,,
2014-09-07,97.01,,,,,
2014-08-31,98.81,,,,,
2014-08-24,101.73,,,,,
2014-08-17,101.57,,,,,
2014-08-10,102.44,,,,,
2014-08-03,103.61,,,,,
2014-07-27,103.44,,,,,
2014-07-20,106.41,,,,,
2014-07-13,105.97,,,,,
2014-07-06,105.79,,,,,
2014-06-29,105.2,,,,,
2014-06-22,104,,,,,
2014-06-15,104,,,,,
2014-06-08,104,,,,,
2014-06-01,104,,,,,
2014-05-25,104,,,,,
2014-05-18,104,,,,,
2014-05-11,104,,,,,
2014-05-04,104,,,,,
2014-04-27,104,,,,,
