Date,Closing Price
2019-10-20,97.83
2019-10-13,97.28
2019-10-06,98.3
2019-09-29,98.81
2019-09-22,99.11
2019-09-15,98.51
2019-09-08,98.26
2019-09-01,98.39
2019-08-25,98.92
2019-08-18,97.64
2019-08-11,98.14
2019-08-04,97.49
2019-07-28,98.07
2019-07-21,98.01
2019-07-14,97.15
2019-07-07,96.81
2019-06-30,97.29
2019-06-23,96.13
2019-06-16,96.22
2019-06-09,97.57
2019-06-02,96.54
2019-05-26,97.75
2019-05-19,97.61
2019-05-12,98
2019-05-05,97.33
2019-04-28,97.52
2019-04-21,98.01
2019-04-14,97.38
2019-04-07,96.97
2019-03-31,97.39
2019-03-24,97.28
2019-03-17,96.65
2019-03-10,96.59
2019-03-03,97.31
2019-02-24,96.53
2019-02-17,96.51
2019-02-10,96.9
2019-02-03,96.64
2019-01-27,95.58
2019-01-20,95.79
2019-01-13,96.34
2019-01-06,95.67
2018-12-30,96.18
2018-12-23,96.4
2018-12-16,96.96
2018-12-09,97.44
2018-12-02,96.51
2018-11-25,97.27
2018-11-18,96.92
2018-11-11,96.46
2018-11-04,96.91
2018-10-28,96.54
2018-10-21,96.36
2018-10-14,95.71
2018-10-07,95.22
2018-09-30,95.62
2018-09-23,95.13
2018-09-16,94.22
2018-09-09,94.93
2018-09-02,95.36
2018-08-26,95.14
2018-08-19,95.15
2018-08-12,96.1
2018-08-05,96.36
2018-07-29,95.14
2018-07-22,94.67
2018-07-15,94.45
2018-07-08,94.75
2018-07-01,94.04
2018-06-24,94.64
2018-06-17,94.52
2018-06-10,94.79
2018-06-03,93.55
2018-05-27,94.19
2018-05-20,94.19
2018-05-13,93.64
2018-05-06,92.54
2018-04-29,92.57
2018-04-22,91.54
2018-04-15,90.32
2018-04-08,89.8
2018-04-01,90.11
2018-03-25,89.97
2018-03-18,89.48
2018-03-11,90.23
2018-03-04,90.09
2018-02-25,89.93
2018-02-18,89.88
2018-02-11,89.1
2018-02-04,90.44
2018-01-28,89.19
2018-01-21,89.07
2018-01-14,90.57
2018-01-07,90.97
2017-12-31,91.95
2017-12-24,92.12
2017-12-17,93.35
2017-12-10,93.93
2017-12-03,93.9
2017-11-26,92.89
2017-11-19,92.78
2017-11-12,93.66
2017-11-05,94.39
2017-10-29,94.94
2017-10-22,94.92
2017-10-15,93.7
2017-10-08,93.09
2017-10-01,93.8
2017-09-24,93.08
2017-09-17,92.17
2017-09-10,91.87
2017-09-03,91.35
2017-08-27,92.81
2017-08-20,92.74
2017-08-13,93.43
2017-08-06,93.07
2017-07-30,93.54
