Date,Dubai,,
09년11월13일,77.19,,
09년11월16일,77.34,,
09년11월17일,78.29,,
09년11월18일,79.02,,
09년11월19일,78.7,,
09년11월20일,77.59,,
09년11월23일,78.02,,
09년11월24일,77.16,,
09년11월25일,76.96,,
09년11월26일,77.59,,
09년11월27일,,,
09년11월30일,77.71,,
09년12월01일,79.34,,
09년12월02일,79.7,,
09년12월03일,79.39,,
09년12월04일,78.38,,
09년12월07일,78.18,,
09년12월08일,77.4,,
09년12월09일,76.58,,
09년12월10일,73.74,,
09년12월11일,73.15,,
09년12월14일,72.31,,
09년12월15일,72.17,,
09년12월16일,73.19,,
09년12월17일,73.26,,
09년12월18일,72.98,,
09년12월21일,73.06,,
09년12월22일,72.33,,
09년12월23일,72.91,,
09년12월24일,75.26,,
09년12월28일,75.53,,
09년12월29일,76.95,,
09년12월30일,77.44,,
09년12월31일,78.04,,
10년01월04일,78.27,,
10년01월05일,79.83,,
10년01월06일,79.92,,
10년01월07일,80.76,,
10년01월08일,80.34,,
10년01월11일,81.35,,
10년01월12일,80.04,,
10년01월13일,77.94,,
10년01월14일,78.45,,
10년01월15일,77.55,,
10년01월18일,76.45,,
10년01월19일,76.17,,
10년01월20일,76.5,,
10년01월21일,75.96,,
10년01월22일,74.45,,
10년01월25일,72.32,,
10년01월26일,72.34,,
10년01월27일,72.38,,
10년01월28일,72.3,,
10년01월29일,71.59,,
10년02월01일,71.28,,
10년02월02일,72.91,,
10년02월03일,76,,
10년02월04일,74.78,,
10년02월05일,70.62,,
10년02월08일,69.46,,
10년02월09일,70.06,,
10년02월10일,71.39,,
10년02월11일,72.31,,
10년02월12일,72.81,,
10년02월15일,,,
10년02월16일,,,
10년02월17일,75.07,,
10년02월18일,74.03,,
10년02월19일,74.99,,
10년02월22일,76.65,,
10년02월23일,76.66,,
10년02월24일,75.41,,
10년02월25일,76,,
10년02월26일,74.29,,
10년03월01일,76.5,,
10년03월02일,75.16,,
10년03월03일,76.09,,
10년03월04일,76.6,,
10년03월05일,77.05,,
10년03월08일,78.18,,
10년03월09일,77.65,,
10년03월10일,77.52,,
10년03월11일,77.87,,
10년03월12일,78.31,,
10년03월15일,77.35,,
10년03월16일,75.81,,
10년03월17일,77.95,,
10년03월18일,77.67,,
10년03월19일,78.09,,
10년03월22일,76.65,,
10년03월23일,77.47,,
10년03월24일,77.45,,
10년03월25일,77.27,,
10년03월26일,77.67,,
10년03월29일,77.35,,
10년03월30일,78.56,,
10년03월31일,78.71,,
10년04월01일,80.14,,
10년04월05일,82.3,,
10년04월06일,83.2,,
10년04월07일,83.63,,
10년04월08일,83.55,,
10년04월09일,83.7,,
