Date,Closing Price
2016년 01월 10일,29.42
2016년 01월 03일,33.16
2015년 12월 27일,37.04
2015년 12월 20일,38.1
2015년 12월 13일,34.73
2015년 12월 06일,35.62
2015년 11월 29일,39.97
2015년 11월 22일,41.71
2015년 11월 15일,40.39
2015년 11월 08일,40.74
2015년 11월 01일,44.29
2015년 10월 25일,46.59
2015년 10월 18일,44.6
2015년 10월 11일,47.26
2015년 10월 04일,49.63
2015년 09월 27일,45.54
2015년 09월 20일,45.7
2015년 09월 13일,44.68
2015년 09월 06일,44.63
2015년 08월 30일,46.05
2015년 08월 23일,45.22
2015년 08월 16일,40.45
2015년 08월 09일,42.5
2015년 08월 02일,43.87
2015년 07월 26일,47.12
2015년 07월 19일,48.14
2015년 07월 12일,50.89
2015년 07월 05일,52.74
2015년 06월 28일,56.93
2015년 06월 21일,59.63
2015년 06월 14일,59.61
2015년 06월 07일,59.96
2015년 05월 31일,59.13
2015년 05월 24일,60.3
2015년 05월 17일,59.72
2015년 05월 10일,59.69
2015년 05월 03일,59.39
2015년 04월 26일,59.15
2015년 04월 19일,57.15
2015년 04월 12일,55.74
2015년 04월 05일,51.64
2015년 03월 29일,49.14
2015년 03월 22일,48.87
2015년 03월 15일,45.72
2015년 03월 08일,44.84
2015년 03월 01일,49.61
2015년 02월 22일,49.76
2015년 02월 15일,50.34
2015년 02월 08일,52.78
2015년 02월 01일,51.69
2015년 01월 25일,48.24
2015년 01월 18일,45.59
2015년 01월 11일,48.69
2015년 01월 04일,48.36
2014년 12월 28일,52.69
2014년 12월 21일,54.73
2014년 12월 14일,56.52
2014년 12월 07일,57.81
2014년 11월 30일,65.84
2014년 11월 23일,66.15
2014년 11월 16일,76.51
2014년 11월 09일,75.82
2014년 11월 02일,78.65
2014년 10월 26일,80.54
2014년 10월 19일,81.01
2014년 10월 12일,82.75
2014년 10월 05일,85.82
2014년 09월 28일,89.74
2014년 09월 21일,93.54
2014년 09월 14일,92.41
2014년 09월 07일,92.27
2014년 08월 31일,93.29
2014년 08월 24일,95.96
2014년 08월 17일,93.65
2014년 08월 10일,97.35
2014년 08월 03일,97.65
2014년 07월 27일,97.88
2014년 07월 20일,102.09
2014년 07월 13일,103.13
2014년 07월 06일,100.83
2014년 06월 29일,104.06
2014년 06월 22일,105.74
2014년 06월 15일,107.26
2014년 06월 08일,106.91
2014년 06월 01일,102.66
2014년 05월 25일,102.71
2014년 05월 18일,104.35
2014년 05월 11일,102.02
2014년 05월 04일,99.99
2014년 04월 27일,99.76
2014년 04월 20일,100.6
2014년 04월 13일,104.3
2014년 04월 06일,103.74
2014년 03월 30일,101.14
2014년 03월 23일,101.67
2014년 03월 16일,99.46
2014년 03월 09일,98.89
2014년 03월 02일,102.58
2014년 02월 23일,102.59
2014년 02월 16일,102.2
2014년 02월 09일,100.3
2014년 02월 02일,99.88
2014년 01월 26일,97.49
2014년 01월 19일,96.64
2014년 01월 12일,94.37
2014년 01월 05일,92.72
2013년 12월 29일,93.96
2013년 12월 22일,100.32
2013년 12월 15일,99.32
2013년 12월 08일,96.6
2013년 12월 01일,97.65
2013년 11월 24일,92.72
2013년 11월 17일,94.84
2013년 11월 10일,93.84
2013년 11월 03일,94.6
2013년 10월 27일,94.61
2013년 10월 20일,97.85
2013년 10월 13일,100.81
2013년 10월 06일,102.02
2013년 09월 29일,103.84
2013년 09월 22일,102.87
2013년 09월 15일,104.68
2013년 09월 08일,108.21
2013년 09월 01일,110.53
2013년 08월 25일,107.65
2013년 08월 18일,106.42
2013년 08월 11일,107.46
2013년 08월 04일,105.97
2013년 07월 28일,106.94
2013년 07월 21일,104.7
2013년 07월 14일,108.05
2013년 07월 07일,105.95
2013년 06월 30일,103.22
2013년 06월 23일,96.56
2013년 06월 16일,93.69
2013년 06월 09일,97.85
2013년 06월 02일,96.03
2013년 05월 26일,91.97
2013년 05월 19일,94.15
2013년 05월 12일,96.02
2013년 05월 05일,96.04
2013년 04월 28일,95.61
2013년 04월 21일,93
2013년 04월 14일,88.01
2013년 04월 07일,91.29
2013년 03월 31일,92.7
2013년 03월 24일,97.23
2013년 03월 17일,93.71
2013년 03월 10일,93.45
2013년 03월 03일,91.95
2013년 02월 24일,90.68
2013년 02월 17일,93.13
2013년 02월 10일,95.86
2013년 02월 03일,95.72
2013년 01월 27일,97.77
2013년 01월 20일,95.88
2013년 01월 13일,95.56
2013년 01월 06일,93.56
2012년 12월 30일,93.09
2012년 12월 23일,90.8
2012년 12월 16일,88.66
2012년 12월 09일,86.73
